ShipmentId,ShipmentName,ShipmentStatus,DestinationFC,ShipFrom,SellerSKU,FNSKU,QuantityShipped,QuantityReceived,QuantityInCase
FBA15M83VWFN,FBA STA (26/08/2026 07:57)-BOM5,IN_TRANSIT,BOM5,"Bhiwandi, Maharashtra",FBA79679,X002876EAV,25,0,0
FBA15M87CS7B,FBA STA (26/08/2026 07:59)-BOM5,IN_TRANSIT,BOM5,"Bhiwandi, Maharashtra",FBA79679,X002876EAV,25,0,0
FBA15M8G1D39,FBA STA (26/08/2026 08:03)-DEL4,IN_TRANSIT,DEL4,"Bhiwandi, Maharashtra",FBA79679,X002876EAV,25,0,0
FBA15M8D4YM5,FBA STA (26/08/2026 08:07)-DEL4,IN_TRANSIT,DEL4,"Bhiwandi, Maharashtra",FBA79679,X002876EAV,25,0,0
FBA15M8H4SXX,FBA STA (26/08/2026 08:09)-MAA4,IN_TRANSIT,MAA4,"Bhiwandi, Maharashtra",FBA79679,X002876EAV,25,0,0
FBA15M8H77CM,FBA STA (26/08/2026 08:12)-MAA4,IN_TRANSIT,MAA4,"Bhiwandi, Maharashtra",FBA79679,X002876EAV,25,0,0
FBA15M8H77DX,FBA STA (26/08/2026 08:12)-BLR7,IN_TRANSIT,BLR7,"Bhiwandi, Maharashtra",FBA79679,X002876EAV,25,0,0
FBA15M8G68H6,FBA STA (26/08/2026 08:15)-BLR7,IN_TRANSIT,BLR7,"Bhiwandi, Maharashtra",FBA79679,X002876EAV,25,0,0
FBA15M85V6RY,FBA STA (26/08/2026 08:18)-HYD3,IN_TRANSIT,HYD3,"Bhiwandi, Maharashtra",FBA79679,X002876EAV,15,0,0
FBA15M8H821R,FBA STA (26/08/2026 08:21)-MAA4,WORKING,MAA4,"Bhiwandi, Maharashtra",FBA79679,X002876EAV,15,0,0
